ZH2363479,1.7157,2.717808219
ZH1350829,1.2714,5.224657534
ZH000713,0.2725,8.843835616
ZH000714,0.1631,8.843835616
ZH000715,0.0294,8.843835616
ZH000716,0.0248,8.843835616
ZH000717,0.1561,2.353424658
ZH000718,0.0592,6.328767123
ZH000719,0.0715,2.909589041
ZH000720,-0.0174,5.315068493
ZH000721,-0.0921,6.37260274
ZH000722,-0.0262,8.693150685
ZH000723,0.0699,8.843835616
ZH000724,0.0368,8.843835616
ZH000725,-0.0507,4.391780822
ZH000726,0.0337,1.156164384
ZH000727,,
ZH000728,-0.072,2.578082192
ZH000729,0.0861,2.273972603
ZH000730,0.0379,8.843835616
ZH000731,-0.0733,1.608219178
ZH000732,0.1827,8.843835616
ZH000733,0.1832,8.843835616
ZH000734,-0.0304,8.843835616
ZH000735,0.2642,1.178082192
ZH000736,0.0033,8.843835616
ZH000737,0.0495,2.775342466
ZH000738,0.2324,8.843835616
ZH000739,-0.0506,6.153424658
ZH000740,0.1202,2.079452055
ZH000741,0.0144,8.843835616
ZH000742,0.0601,8.843835616
ZH000743,0.0248,8.843835616
ZH000744,0.1308,8.843835616
ZH000745,,
ZH000746,0.0393,8.843835616
ZH000747,0.1058,8.843835616
ZH000748,0.0715,3.775342466
ZH000749,-0.0641,8.843835616
ZH000750,-0.1989,3.775342466
ZH000000,,
ZH000001,,
ZH000002,,
ZH000003,,
ZH000004,,
ZH000005,,
ZH000006,,
ZH000007,,
ZH000008,,
ZH000009,,
ZH000010,,
ZH000011,,
ZH000012,,
ZH000013,,
ZH000014,,
ZH000015,,
ZH000016,,
ZH000017,,
ZH000018,,
ZH000019,,
ZH000020,,
ZH000021,,
ZH000022,,
ZH000023,,
ZH000024,,
ZH000025,,
ZH000026,,
ZH000027,,
ZH000028,,
ZH000029,,
ZH000030,,
ZH000031,,
ZH000032,,
ZH000033,,
ZH000034,,
ZH000035,,
ZH000036,,
ZH000037,,
ZH000038,,
ZH000039,,
ZH000040,,
ZH000041,,
ZH000042,,
ZH000043,,
ZH000044,,
ZH000045,,
ZH000046,,
ZH000047,,
ZH000048,,
ZH000049,,
ZH000050,,
ZH000051,,
ZH000052,,
ZH000053,,
ZH000054,,
ZH000055,,
ZH000056,,
ZH000057,,
ZH000058,,
ZH000059,,
ZH000060,,
ZH000061,,
ZH000062,,
ZH000063,,
ZH000064,,
ZH000065,,
ZH000066,,
ZH000067,,
ZH000068,,
ZH000069,,
ZH000070,,
ZH000071,,
ZH000072,,
ZH000073,,
ZH000074,,
ZH000075,,
ZH000076,,
ZH000077,,
ZH000078,,
ZH000079,,
ZH000080,,
ZH000081,,
ZH000082,,
ZH000083,,
ZH000084,,
ZH000085,,
ZH000086,,
ZH000087,,
ZH000088,,
ZH000089,,
ZH000090,,
ZH000091,,
ZH000092,,
ZH000093,,
ZH000094,,
ZH000095,,
ZH000096,,
ZH000097,,
ZH000098,,
ZH000103,-0.0545,8.873972603
ZH000104,0.0828,8.873972603
ZH000106,-0.0286,8.873972603
ZH000107,-0.0822,8.873972603
ZH000109,0.1119,8.873972603
ZH000115,0.1286,8.873972603
ZH000117,0.3924,2.093150685
ZH000118,0.077,8.873972603
ZH000101,0.0275,8.873972603
ZH000102,-0.0166,2.093150685
ZH000099,,
ZH000100,,
ZH000105,,
ZH000108,,
ZH000110,,
ZH000111,,
ZH000112,,
ZH000113,,
ZH000114,,
ZH000116,,
ZH000119,,
ZH000120,0,6.419178082
ZH000121,0.1025,6.419178082
ZH000122,-0.0043,6.419178082
ZH000123,0.1042,8.871232877
ZH000124,0,6.419178082
ZH000125,,
ZH000126,,
ZH000127,,
ZH000128,,
ZH000129,,
ZH000130,,
ZH000131,,
ZH000132,,
ZH000133,-0.0422,8.871232877
ZH000134,-0.0325,8.871232877
ZH000135,0.251,8.871232877
ZH000136,0.0021,8.871232877
ZH000137,0.1373,5.293150685
ZH000138,,
ZH000139,0.452,1.619178082
ZH000140,-0.0449,8.871232877
ZH000141,0.2277,2.750684932
ZH000142,-0.3253,3.019178082
ZH000143,0.2089,8.871232877
ZH000144,0.3298,1.619178082
ZH000145,0.2111,8.871232877
ZH000146,-0.0162,5.342465753
ZH000147,0.0867,8.871232877
ZH000148,0.0554,4.416438356
ZH000149,0.0797,8.871232877
ZH000150,0.0733,8.871232877
ZH000151,0.0497,4.416438356
ZH000152,,
ZH000153,-0.0043,6.419178082
ZH000154,0.0535,2.090410959
ZH000155,0.141,8.871232877
ZH000156,0,8.871232877
ZH000157,,
ZH000158,0.1375,8.871232877
ZH000159,0.0802,8.871232877
ZH000160,0.024,8.871232877
ZH000161,0.0321,6.419178082
ZH000162,0.0979,8.871232877
ZH000163,,
ZH000164,0.2559,6.452054795
ZH000165,0.0006,2.090410959
ZH000166,-0.0125,8.871232877
ZH000167,-0.0796,2.090410959
ZH000168,-0.0606,5.273972603
ZH000169,,
ZH000170,,
ZH000171,,
ZH000172,0.2022,8.871232877
ZH000173,-0.0043,8.868493151
ZH000174,-0.0332,8.868493151
ZH000175,0.23,2.747945205
ZH000176,0.3128,2.747945205
ZH000177,,
ZH000178,-0.0546,2.747945205
ZH000179,0.0273,8.868493151
ZH000180,,
ZH000181,,
ZH000182,0.0558,8.868493151
ZH000183,0.0142,8.868493151
ZH000184,0.0344,8.868493151
ZH000185,0.5122,4.41369863
ZH000186,0.0555,8.868493151
ZH000187,0.0911,8.868493151
ZH000188,0.0997,2.684931507
ZH000189,0.0212,8.868493151
ZH000190,,
ZH000191,0.1095,8.868493151
ZH000192,-0.0244,8.868493151
ZH000193,0.1961,8.868493151
ZH000194,0.0542,8.868493151
ZH000195,0.0821,8.868493151
ZH000196,0.0451,8.868493151
ZH000197,0,2.684931507
ZH000198,0.1357,8.868493151
ZH000199,0.1947,8.868493151
ZH000200,-0.2454,2.235616438
ZH000201,0.0301,8.868493151
ZH000202,,
ZH000203,0.1593,8.868493151
ZH000204,0.1005,2.747945205
ZH000205,0.1085,2.747945205
ZH000206,0.0263,2.621917808
ZH000207,0.0043,8.868493151
ZH000208,-0.0123,8.868493151
ZH000209,-0.0585,5.695890411
ZH000210,0.064,1.320547945
ZH000211,0.0293,8.868493151
ZH000212,0.2678,8.868493151
ZH000213,0.1726,8.868493151
ZH000214,0.0423,8.868493151
ZH000215,0.0307,8.868493151
ZH000216,0.0185,8.868493151
ZH000217,-0.0258,8.868493151
ZH000218,0.0981,8.868493151
ZH000219,0.1999,8.868493151
ZH000220,0.033,8.868493151
ZH000221,-0.0321,8.868493151
ZH000222,0.1455,3.602739726
ZH000223,-0.0159,8.868493151
ZH000224,,
ZH000225,0,8.868493151
ZH000226,-0.0936,5.676712329
ZH000227,-0.001,8.868493151
ZH000228,0.0325,8.868493151
ZH000229,-0.0284,8.868493151
ZH000230,0.0662,3.602739726
ZH000231,0.2903,8.868493151
ZH000232,0.0238,8.868493151
ZH000233,0.0083,8.868493151
ZH000234,0,1.112328767
ZH000235,-0.032,8.868493151
